datetime,consumption_reinforcement,consumption_concentrate,consumption_pellets,consumption_scrap,production_all_reinforcement,production_rus_reinforcement,production_all_concentrate,production_rus_concentrate,production_all_pellets,production_rus_pellets,production_all_coke,production_rus_coke,import_reinforcement,import_concentrate,import_pellets,import_scrap,import_coke,export_reinforcement,export_concentrate,export_pellets,export_coke,export_scrap,exchange_rate_usd,scrap_price_lme_M01,scrap_price_lme_M06,scrap_price_lme_M15,Mean_US_Dollar_Russian_Ruble_USD/RUB,Mean_US_Dollar_Russian_Ruble_USD/RUB_TOM,Mean_Russian_Ruble_US_Dollar_RUB/USD,Mean_Euro_Russian_Ruble_EUR/RUB,Mean_Russian_Ruble_Euro_RUB/EUR,Mean_Chinese_Yuan_Russian_Ruble_CNY/RUB,Mean_Russian_Ruble_Chinese_Yuan_RUB/CNY,Mean_Russian_Ruble_Turkish_Lira_RUB/TRY,Mean_Turkish_Lira_Russian_Ruble_TRY/RUB,Mean_Dow_Jones_Iron_&_Steel_DJUSST_NYSE,Volume_Dow_Jones_Iron_&_Steel_DJUSST_NYSE,Mean_Taiwan_Steel_TSTI_Taiwan,Volume_Taiwan_Steel_TSTI_Taiwan,Mean_Coal_(ICI_4)_Indonesian_Coal_Index_Futures_IICc1_CME,Volume_Coal_(ICI_4)_Indonesian_Coal_Index_Futures_IICc1_CME,Mean_ZCE_Thermal_Coal_CZCc1_ZCE,Volume_ZCE_Thermal_Coal_CZCc1_ZCE,Mean_STEEL_HRC_FOB_CHINA_Futures_MHCc1_London,Volume_STEEL_HRC_FOB_CHINA_Futures_MHCc1_London,Mean_Steel_Rebar_Futures_SRRc1_London,Volume_Steel_Rebar_Futures_SRRc1_London,Mean_Steel_Scrap_Futures_SSCc1_London,Volume_Steel_Scrap_Futures_SSCc1_London,Mean_US_Midwest_Domestic_Hot-Rolled_Coil_Steel_Futures_HRCc1_CME,Volume_US_Midwest_Domestic_Hot-Rolled_Coil_Steel_Futures_HRCc1_CME,Mean_Metallurgical_Coke_Futures_DCJc1_DCE,Volume_Metallurgical_Coke_Futures_DCJc1_DCE,Mean_Rotterdam_Coal_Futures_ATWMc1_ICE,Volume_Rotterdam_Coal_Futures_ATWMc1_ICE,Mean_Coal_(API2)_CIF_ARA_(ARGUS-McCloskey)_Futures_MTFc1_CME,Volume_Coal_(API2)_CIF_ARA_(ARGUS-McCloskey)_Futures_MTFc1_CME,Mean_Coal_(API4)_FOB_Richards_Bay_(ARGUS-McCloskey)_Futures_FMFc1_CME,Volume_Coal_(API4)_FOB_Richards_Bay_(ARGUS-McCloskey)_Futures_FMFc1_CME,Mean_Coking_Coal_Futures_DJMc1_DCE,Volume_Coking_Coal_Futures_DJMc1_DCE,Mean_Iron_ore_fines_62%_Fe_CFR_Futures_TIOc1_CME,Volume_Iron_ore_fines_62%_Fe_CFR_Futures_TIOc1_CME,WPU101707,WPU101,WPU10170301,PCU3312213312211,WPU101703,WPU101704,WPU101705,WPU101708,PCU3312213312213,PCU331222331222,china_credit_impulse,ChinaHousingPriceYoY,China-ShanghaiShenzhenCSI300Index,shipment_reinforcement_sum,shipment_scrap_sum,prod_prices_reinf_imp_min,prod_prices_reinf_imp_median,prod_prices_reinf_imp_mean,prod_prices_reinf_imp_max,prod_prices_reinf_inn_min,prod_prices_reinf_inn_median,prod_prices_reinf_inn_mean,prod_prices_reinf_inn_max,prod_prices_scrap_inn_min,prod_prices_scrap_inn_median,prod_prices_scrap_inn_mean,prod_prices_scrap_inn_max
2018-01-01,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,,,,,,0.0173,,0.01445,8.85815,0.1129,0.06575,15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-02,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,367.0,342.5,320.0,,,0.0174,,0.01445,8.864650000000001,0.11305,0.0655999999999999,15.23,285.95500000000004,26780822.0,104.305,181710995456.0,,,706.0,6852.0,,,559.0,0.0,367.0,0.0,660.0,10.0,2270.75,974.0,96.65,56.0,96.9,110.0,96.15,25.0,1299.25,54.0,73.9,105.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4087.4,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-03,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,367.0,342.5,320.0,57.3688,,0.0174,69.0085,0.0144999999999999,8.82935,0.11335,0.06575,15.2,293.01,29230452.0,104.865,133729001472.0,,,694.0,9834.0,,,561.0,0.0,367.0,0.0,662.0,50.0,2238.0,322.0,97.5,71.0,96.6,55.0,96.2,15.0,1297.25,1324.0,73.43,0.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4111.39,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-04,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,367.0,342.5,320.0,57.04225,,0.0175,68.78,0.0146,8.7803,0.11385,0.06595,15.175,294.995,22796488.0,105.19,139945000960.0,,,695.0,3094.0,,,561.0,0.0,367.0,160.0,662.0,10.0,2239.5,1886.0,96.0,99.0,96.1,75.0,96.75,85.0,1301.75,206.0,74.61,10.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4128.81,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-05,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,369.5,345.0,320.0,57.0013,,0.01755,68.6725,0.01455,8.7776,0.11375,0.0657,15.215,295.405,22521744.0,105.245,170644996096.0,,,714.0,9120.0,,,561.0,0.0,369.5,315.0,662.0,0.0,2236.0,612.0,96.25,88.0,96.4,86.0,97.0,50.0,1310.0,0.0,75.39,10.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4138.75,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-06,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,369.5,345.0,320.0,57.0013,,0.01755,68.6725,0.01455,8.7776,0.11375,0.0657,15.215,295.405,22521744.0,105.245,170644996096.0,,,714.0,9120.0,,,561.0,0.0,369.5,315.0,662.0,0.0,2236.0,612.0,96.25,88.0,96.4,86.0,97.0,50.0,1310.0,0.0,75.39,10.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4138.75,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-07,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,369.5,345.0,320.0,57.0013,,0.01755,68.6725,0.01455,8.783249999999999,0.11375,0.0657,15.215,295.405,22521744.0,105.245,170644996096.0,,,714.0,9120.0,,,561.0,0.0,369.5,315.0,662.0,0.0,2236.0,612.0,96.25,88.0,96.4,86.0,97.0,50.0,1310.0,0.0,75.39,10.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4138.75,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-08,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,372.0,345.0,320.0,57.0013,,0.01755,68.6725,0.01455,8.777149999999999,0.1138,0.06565,15.239999999999998,299.125,24763196.0,106.77,222613995520.0,,,720.5,988.0,,,564.0,0.0,372.0,50.0,662.5,8.0,2185.0,306.0,96.65,115.0,96.4,90.0,97.4,85.0,1310.0,0.0,76.99,10.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4160.16,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-09,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,,372.0,345.0,320.0,57.0073,,0.01755,68.2305,0.0147,8.7395,0.1143,0.0659,15.175,298.065,23352412.0,106.97,142829993984.0,,,697.0,0.0,,,567.0,0.0,372.0,785.0,663.0,0.0,2189.75,414.0,96.1,79.0,96.1,12.0,97.25,10.0,1315.0,8.0,77.62,30.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4189.3,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
2018-01-10,482.19,8619.71,3473.257,871.738,969.2,510.3,14771.6,8467.1,6419.4,4127.4,3443.8,2314.0,82.85,415.0,160.0,25.757,7.123,110.9,262.4,814.2,208.7,179.172,57.0463,377.0,352.0,330.0,56.93485,,0.01755,68.113,0.0147,8.738199999999999,0.1144,0.06655,15.04,298.22,21074048.0,107.775,249789005824.0,,,697.0,0.0,,,573.5,45.0,377.0,560.0,664.5,74.0,2190.0,186.0,95.65,95.0,95.65,25.0,97.25,17.0,1300.0,412.0,77.4,0.0,211.5,217.6,116.6,192.5,131.3,178.1,239.8,193.9,181.2,188.9,27.0,5.0,4207.81,399.5,845.8,543.0,543.0,543.0,543.0,30800.0,33790.0,34029.6,38116.0,251.0,12950.0,7898.71,15400.0
